Sentiment,Topic,text
Negative,kindle2,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
Neutral,kindle2,Reading my kindle2...  Love it... Lee childs is good read.
Positive,kindle2,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
Positive,kindle2,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
Negative,kindle2,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
Negative,kindle2,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
Negative,nike,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
Negative,nike,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
Neutral,lebron,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
Neutral,lebron,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
Positive,lebron,i love lebron. http://bit.ly/PdHur
Positive,lebron,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
Negative,lebron,@Pmillzz lebron IS THE BOSS
Neutral,lebron,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
Neutral,lebron,lebron and zydrunas are such an awesome duo
Neutral,lebron,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
Neutral,google,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
Positive,google,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
Positive,google,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
Positive,stanford,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
Positive,san francisco,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
