text,CompSci.topic,Physics.topic,Math.topic,Statistics.topic
"  The main theorem is incorrectly stated.
",FALSE,FALSE,TRUE,FALSE
"  Introduction to deep neural networks and their history.
",TRUE,FALSE,FALSE,FALSE
"  We describe the design of the CCI30 cryptocurrency index.
",FALSE,FALSE,FALSE,FALSE
"  In this paper, we gave some properties of binomial coefficient.
",FALSE,FALSE,TRUE,FALSE
"  We show the hardness of the geodetic hull number for chordal graphs.
",TRUE,FALSE,FALSE,FALSE
"  We prove the Gaschütz Lemma holds for all metrisable compact groups.
",FALSE,FALSE,TRUE,FALSE
"  In this paper we introduce and study motives for rational homotopy types.
",FALSE,FALSE,TRUE,FALSE
"  We introduce an algebraic Fourier transform for the quantum Toda lattice.
",FALSE,FALSE,TRUE,FALSE
"  We observe that derived equivalent K3 surfaces have isomorphic Chow motives.
",FALSE,FALSE,TRUE,FALSE
"  This is a list of questions raised by our joint work arXiv:1412.0737 and its
sequels.
",FALSE,FALSE,TRUE,FALSE
"  We discuss the connection between colorings of a link diagram and the Goeritz
matrix.
",FALSE,FALSE,TRUE,FALSE
"  In this paper we present a short and elementary proof for the error in
Simpson's rule.
",FALSE,FALSE,TRUE,FALSE
"  We discuss various forms of definitions in mathematics and describe rules
governing them.
",FALSE,FALSE,TRUE,FALSE
"  We present a functional form of the Erdös-Renyi law of large numbers for
Levy processes.
",FALSE,FALSE,TRUE,TRUE
"  In this paper, we classify the fundamental solutions for a class of
Schrodinger operators.
",FALSE,FALSE,TRUE,FALSE
"  In this short note, we obtain error estimates for Riemann sums of some
singular functions.
",FALSE,FALSE,TRUE,FALSE
"  We present numerical simulations of magnetic billiards inside a convex domain
in the plane.
",FALSE,TRUE,TRUE,FALSE
"  Some explanations to Kaldi's PLDA implementation to make formula derivation
easier to catch.
",FALSE,FALSE,FALSE,TRUE
"  We correct one erroneous statement made in our recent paper ""Medial axis and
singularities"".
",FALSE,FALSE,TRUE,FALSE
"  In this paper we investigate the properties of function spaces using the
selection principles.
",FALSE,FALSE,TRUE,FALSE
"  Some boundedness properties of function spaces (considered as topological
groups) are studied.
",FALSE,FALSE,TRUE,FALSE
"  This document outlines the approach to supporting cross-node transactions
over a Redis cluster.
",TRUE,FALSE,FALSE,FALSE
"  In this work, we prove the existence of local convex solution to the
degenerate Hessian equation
",FALSE,FALSE,TRUE,FALSE
"  An extremely simple, description of Karmarkar's algorithm with very few
technical terms is given.
",TRUE,FALSE,FALSE,FALSE
"  We prove that there exist non-linear binary cyclic codes that attain the
Gilbert-Varshamov bound.
",TRUE,FALSE,TRUE,FALSE
"  We present an algorithm for construction step wavelets on local fields of
positive characteristic.
",FALSE,FALSE,TRUE,FALSE
